geoid10,n_totpop19,n_totpopraceth19,n_nlwt19,n_nlblk19,n_nlamin19,n_nlasi19,n_nlhp19,n_nlso19,n_nl2om19,n_lat19,n_agginc19,n_hu19,n_huten19,n_huown19,n_hurent19,n_totpoppov19,n_u50pctpov19,n_upov19,n_u200pctpov19,n_blklat19,n_50to99pctpov19,n_ov200pctpov19,n_totpop00,n_agginc00,n_totpoppov00,n_ov200pctpov00,n_50to99pctpov00,n_u50pctpov00,n_upov00,n_u200pctpov00,n_totpopraceth00,n_nlwt00,n_nlblk00,n_nlamin00,n_nlasi00,n_nlhp00,n_nlso00,n_nl2om00,n_lat00,n_blklat00,n_hu00,n_huten00,n_huown00,n_hurent00,s_u50pctpov00,s_u50pctpov19,s_50to99pctpov00,s_50to99pctpov19,s_upov00,s_upov19,s_u200pctpov00,s_u200pctpov19,s_ov200pctpov00,s_ov200pctpov19,a_u50pctpov,a_50to99pctpov,a_upov,a_u200pctpov,a_ov200pctpov,c_u50pctpov,c_50to99pctpov,c_upov,c_u200pctpov,c_ov200pctpov,p_u50pctpov,p_50to99pctpov,p_upov,p_u200pctpov,p_ov200pctpov,s_nlwt00,s_nlwt19,s_nlblk00,s_nlblk19,s_nlamin00,s_nlamin19,s_nlasi00,s_nlasi19,s_nlhp00,s_nlhp19,s_nlso00,s_nlso19,s_nl2om00,s_nl2om19,s_lat00,s_lat19,s_blklat00,s_blklat19,a_nlwt,a_nlblk,a_nlasi,a_lat,a_blklat,c_nlwt,c_nlblk,c_nlasi,c_lat,c_blklat,p_nlwt,p_nlblk,p_nlasi,p_lat,p_blklat,n_pci00,n_pci19,r_n_pci00,r_n_pci19,a_pci,x_pci00,x_pci19,y_pci,a_totpop,a_totpoppov,a_totpopraceth,a_hu,a_huten,a_huown,a_hurent,s_huown00,s_hurent00,s_huown19,s_hurent19,p_totpoppov,p_totpopraceth,p_hu,p_huten,p_huown,p_hurent,c_huown,c_hurent,nc_cats,nc_cats_br,catA_pci,catB_pci,catC_pci
11001000100,4888,4888,3739,33,0,296,0,47,91,682,696749800,2765,2380,1364,1016,4879,216,310,546,715,94,4333,4674,442728700,4674,4068,83,160,243,606,4674,4016,219,23,181,11,11,21,192,411,2933,2724,1447,1277,0.03423192126658109,0.044271367083418736,0.01775780915703894,0.019266243082598892,0.051989730423620026,0.06353761016601762,0.12965340179717585,0.11190817790530846,0.8703465982028241,0.8880918220946915,56,11,67,-60,265,0.010039445816837647,0.0015084339255599516,0.011547879742397599,-0.01774522389186739,0.01774522389186739,0.35,0.13253012048192772,0.2757201646090535,-0.09900990099009901,0.0651425762045231,0.8592212237911853,0.7649345335515548,0.04685494223363286,0.006751227495908347,0.004920838682071031,0,0.038724860932819856,0.060556464811783964,0.0023534445870774497,0,0.0023534445870774497,0.0022504091653027824,0.004492939666238768,0.018617021276595744,0.0410783055198973,0.1395253682487725,0.08793324775353016,0.14627659574468085,-277,-186,115,490,304,-0.09428669023963043,-0.04010371473772451,0.021831603878964108,0.09844706272887521,0.05834334799115069,-0.06897410358565736,-0.8493150684931506,0.6353591160220995,2.5520833333333335,1,94721.58750534874,142542.92144026185,0.9970171513795675,0.9985096870342772,47821.33393491311,3.0907869533195433,2.849911543316913,-0.24087541000263046,214,205,214,-168,-344,-83,-261,0.5312041116005873,0.4687958883994126,0.573109243697479,0.426890756302521,0.043859649122807015,0.045785194694052206,-0.057279236276849645,-0.11728605523354926,-0.05736005528680028,-0.20438527799530148,0.04190513209689162,-0.04190513209689162,other,other,decline 10% or more,stayed 70% or over regional pci,stayed above 60th pctile of per capita income
11001000201,3922,3922,2223,238,32,831,0,0,160,438,16403900,0,0,0,0,72,13,13,28,676,0,44,4460,25882400,201,58,72,71,143,143,4460,3740,258,0,286,50,0,25,101,359,30,30,20,10,0.35323383084577115,0.18055555555555555,0.3582089552238806,0,0.7114427860696517,0.18055555555555555,0.7114427860696517,0.3888888888888889,0.2885572139303483,0.6111111111111112,-58,-72,-130,-115,-14,-0.1726782752902156,-0.3582089552238806,-0.5308872305140961,-0.3225538971807628,0.3225538971807629,-0.8169014084507042,-1,-0.9090909090909091,-0.8041958041958042,-0.2413793103448276,0.8385650224215246,0.5668026517083121,0.05784753363228699,0.06068332483426823,0,0.00815910249872514,0.06412556053811659,0.2118816930137685,0.011210762331838564,0,0,0,0.005605381165919282,0.0407955124936257,0.022645739910313902,0.11167771545130036,0.0804932735426009,0.1723610402855686,-1517,-20,545,337,317,-0.2717623707132125,0.0028357912019812345,0.1477561324756519,0.08903197554098645,0.09186776674296769,-0.4056149732620321,-0.07751937984496124,1.9055944055944056,3.3366336633663365,1,5803.22869955157,4182.534421213666,0,0,-1620.6942783379036,0.1893606729373142,0.08362290464442759,-0.10573776829288661,-538,-129,-538,-30,-30,-20,-10,0.6666666666666666,0.3333333333333333,NA,NA,-0.6417910447761194,-0.12062780269058296,-1,-1,-1,-1,NA,NA,other,other,decline 10% or more,stayed 30% or under regional pci,stayed below 40th pctile of per capita income
11001000202,4709,4709,3574,286,0,262,16,0,145,426,459132900,1824,1638,1154,484,3695,588,701,933,712,113,2762,3857,270479300,3857,2726,179,765,944,1131,3857,3447,47,0,155,0,0,46,162,209,2044,1914,1075,839,0.19834067928441795,0.1591339648173207,0.0464091262639357,0.030581867388362653,0.24474980554835365,0.18971583220568336,0.2932330827067669,0.25250338294993235,0.706766917293233,0.7474966170500676,-177,-66,-243,-198,36,-0.03920671446709725,-0.01582725887557305,-0.055033973342670295,-0.04072969975683455,0.0407296997568346,-0.23137254901960785,-0.3687150837988827,-0.2574152542372881,-0.17506631299734748,0.013206162876008804,0.8936997666580244,0.7589721809301337,0.012185636505055743,0.06073476321936717,0,0,0.04018667358050298,0.05563813973242727,0,0.0033977489912932683,0,0,0.011926367643246047,0.030792100233595243,0.04200155561317086,0.09046506689318326,0.054187192118226604,0.15119983011255045,127,239,107,264,503,-0.13472758572789068,0.04854912671431143,0.01545146615192429,0.0484635112800124,0.09701263799432384,0.03684363214389324,5.085106382978723,0.6903225806451613,1.6296296296296295,1,70126.86025408348,97501.14674028456,0.9850857568978374,0.9545454545454546,27374.286486201076,2.288255406808345,1.9493752532511777,-0.3388801535571675,852,-162,852,-220,-276,79,-355,0.5616509926854755,0.43834900731452453,0.7045177045177046,0.2954822954822955,-0.04200155561317086,0.22089707026186156,-0.10763209393346379,-0.1350293542074364,0.07348837209302325,-0.4231227651966627,0.1428667118322291,-0.14286671183222904,other,other,decline 10% or more,stayed 70% or over regional pci,stayed above 60th pctile of per capita income
11001000300,6585,6585,4820,559,0,529,0,41,119,517,489801600,2508,2410,1300,1110,6585,1018,1220,1470,1076,202,5115,5750,279378200,5750,4529,210,688,898,1221,5750,4672,129,15,414,15,32,145,328,457,2856,2778,1314,1464,0.11965217391304347,0.15459377372817007,0.036521739130434785,0.03067577828397874,0.15617391304347827,0.1852695520121488,0.21234782608695651,0.22323462414578588,0.7876521739130434,0.7767653758542141,330,-8,322,249,586,0.034941599815126595,-0.005845960846456045,0.02909563896867054,0.010886798058829361,-0.010886798058829306,0.4796511627906977,-0.0380952380952381,0.3585746102449889,0.20393120393120392,0.12938838595716493,0.8125217391304348,0.7319665907365224,0.022434782608695653,0.08488990129081245,0.0026086956521739132,0,0.072,0.080334092634776,0.0026086956521739132,0,0.005565217391304348,0.004859529233105543,0.025217391304347827,0.018071374335611238,0.057043478260869564,0.07851176917236143,0.07947826086956522,0.1634016704631739,148,430,115,189,619,-0.08055514839391242,0.0624551186821168,0.00833409263477601,0.021468290911491862,0.08392340959360867,0.031678082191780824,3.3333333333333335,0.2777777777777778,0.5762195121951219,1,48587.51304347826,74381.41230068337,0.9075316927665921,0.8584202682563339,25793.899257205107,1.5854216062473165,1.4871341444532606,-0.0982874617940559,835,835,835,-348,-368,-14,-354,0.47300215982721383,0.5269978401727862,0.5394190871369294,0.4605809128630705,0.14521739130434783,0.14521739130434783,-0.12184873949579832,-0.12885154061624648,-0.0106544901065449,-0.24180327868852458,0.0664169273097156,-0.06641692730971566,other,other,lt 10% change,stayed 70% or over regional pci,stayed above 60th pctile of per capita income
11001000400,1413,1413,1033,31,0,101,0,0,38,210,182171700,712,591,350,241,1408,110,146,219,241,36,1189,1501,160835200,1501,1411,0,45,45,90,1501,1291,68,15,31,0,0,70,26,94,716,670,451,219,0.029980013324450366,0.078125,0,0.02556818181818182,0.029980013324450366,0.10369318181818182,0.05996002664890073,0.15553977272727273,0.9400399733510992,0.8444602272727273,65,36,101,129,-222,0.04814498667554963,0.02556818181818182,0.07371316849373145,0.095579746078372,-0.09557974607837194,1.4444444444444444,Inf,2.2444444444444445,1.4333333333333333,-0.1573352232459249,0.860093271152565,0.7310686482661005,0.04530313124583611,0.021939136588818117,0.009993337774816789,0,0.020652898067954697,0.07147912243453644,0,0,0,0,0.046635576282478344,0.02689313517338995,0.017321785476349102,0.14861995753715498,0.0626249167221852,0.17055909412597312,-258,-37,70,184,147,-0.12902462288646444,-0.023363994657017995,0.05082622436658174,0.13129817206080588,0.10793417740378791,-0.19984508133230056,-0.5441176470588235,2.2580645161290325,7.076923076923077,1,107152.03197868088,128925.47770700637,1,0.9918032786885246,21773.44572832549,3.4963951849168917,2.577653126737893,-0.9187420581789989,-88,-93,-88,-4,-79,-101,22,0.673134328358209,0.32686567164179103,0.5922165820642978,0.4077834179357022,-0.061958694203864094,-0.05862758161225849,-0.00558659217877095,-0.11033519553072625,-0.22394678492239467,0.1004566210045662,-0.08091774629391113,0.08091774629391119,economic decline with low-income concentration - moderate,economic decline with low income concentration,decline 10% or more,stayed 70% or over regional pci,stayed above 60th pctile of per capita income
11001000501,3434,3434,2401,258,0,260,0,0,49,466,363525100,2217,1837,340,1497,3409,103,150,285,724,47,3124,2774,146258300,2618,2301,59,97,156,317,2774,2120,135,7,237,0,11,18,246,381,1856,1772,315,1457,0.03705118411000764,0.030214139043707833,0.022536287242169595,0.013787034320915225,0.059587471352177235,0.04400117336462306,0.12108479755538579,0.0836022293927838,0.8789152024446142,0.9163977706072162,6,-12,-6,-32,823,-0.006837045066299809,-0.00874925292125437,-0.015586297987554176,-0.03748256816260198,0.03748256816260198,0.061855670103092786,-0.2033898305084746,-0.038461538461538464,-0.10094637223974763,0.35767057800956104,0.7642393655371305,0.6991846243447875,0.04866618601297765,0.07513104251601631,0.0025234318673395817,0,0.08543619322278298,0.075713453698311,0,0,0.003965392934390771,0.00320326150262085,0.006488824801730353,0.014269073966220151,0.08868060562364816,0.13570180547466512,0.1373467916366258,0.21083284799068142,281,123,23,220,343,-0.065054741192343,0.02646485650303866,-0.009722739524471974,0.047021199851016965,0.07348605635405561,0.13254716981132075,0.9111111111111111,0.0970464135021097,0.8943089430894309,1,52724.69358327325,105860.54164239953,0.9276659209545116,0.970193740685544,53135.848059126285,1.720418748637944,2.1165076214246907,0.39608887278674665,660,791,660,361,65,25,40,0.17776523702031602,0.822234762979684,0.18508437670114317,0.8149156232988568,0.30213903743315507,0.23792357606344627,0.1945043103448276,0.03502155172413793,0.07936507936507936,0.027453671928620454,0.007319139680827147,-0.0073191396808272025,other,other,increase 10% or greater,stayed 70% or over regional pci,stayed above 60th pctile of per capita income
11001000502,3396,3396,2528,76,0,106,9,0,93,584,399020300,1776,1596,863,733,3396,79,146,204,660,67,3192,3062,199353800,3062,2681,45,88,133,381,3062,2578,95,0,79,13,17,86,194,289,1777,1720,849,871,0.028739386022207707,0.02326266195524146,0.014696276943174396,0.019729093050647822,0.0434356629653821,0.04299175500588928,0.12442847811887656,0.06007067137809187,0.8755715218811234,0.9399293286219081,-9,22,13,-177,511,-0.005476724066966247,0.005032816107473427,-4.4390795949281886e-4,-0.06435780674078469,0.06435780674078473,-0.10227272727272728,0.4888888888888889,0.09774436090225563,-0.4645669291338583,0.1906005221932115,0.8419333768778576,0.7444051825677267,0.0310254735467015,0.02237926972909305,0,0,0.025800130633572827,0.03121319199057715,0.004245591116917048,0.00265017667844523,0.005551926845199217,0.005005889281507656,0.028086218158066622,0.027385159010600707,0.06335728282168518,0.17196702002355713,0.09438275636838668,0.19434628975265017,-50,-19,27,390,371,-0.09752819431013093,-0.008646203817608451,0.005413061357004322,0.10860973720187195,0.09996353338426349,-0.019394879751745538,-0.2,0.34177215189873417,2.0103092783505154,1,65105.74787720444,117497.14369846879,0.97837434750186425,0.9858420268256334,52391.39582126435,2.1244153674431616,2.349162362814115,0.22474699537095333,334,334,334,-1,-124,14,-138,0.4936046511627907,0.5063953488372093,0.5407268170426065,0.4592731829573935,0.10907903331156107,0.10907903331156107,-5.627462014631402e-4,-0.06978052898142938,0.016489988221436984,-0.1584385763490241,0.047122165879815825,-0.04712216587981577,economic expansion with displacement - moderate,economic expansion with displacement,increase 10% or greater,stayed 70% or over regional pci,stayed above 60th pctile of per capita income
11001000600,4966,4966,3508,328,0,334,0,32,90,674,569347400,2256,2177,1469,708,4757,53,279,382,1002,226,4375,4969,297408600,4290,3907,70,136,206,383,4969,3712,602,15,187,0,26,64,363,965,2235,2167,1345,822,0.031701631701631705,0.011141475719991592,0.016317016317016316,0.04750893420222829,0.04801864801864802,0.058650409922219884,0.08927738927738928,0.08030271179314694,0.9107226107226107,0.919697288206853,-83,156,73,-1,468,-0.020560155981640113,0.031191917885211976,0.010631761903571867,-0.008974677484242341,0.0089746774842423,-0.6102941176470589,2.2285714285714286,0.35436893203883496,-0.0026109660574412533,0.11978500127975429,0.7470315958945462,0.7064035440998792,0.12115113704970819,0.06604913411196134,0.0030187160394445564,0,0.037633326625075465,0.06725734997986307,0,0,0.0052324411350372305,0.005235602094240838,0.012879855101630106,0.018123238018525976,0.07305292815455826,0.13572291582762788,0.19420406520426645,0.2017720499395892,-204,-274,147,311,37,-0.040628051794667,-0.05510200293774685,0.02962402335478761,0.06266998767306962,0.007567984735322747,-0.05495689655172414,-0.45514950166112955,0.786096256684492,0.8567493112947658,1,59852.80740591668,114649.09383809907,0.9574944071588367,0.9821162444113264,54796.28643218239,1.9530107246070858,2.2922202846597015,0.3392095600526157,-3,467,-3,21,10,124,-114,0.6206737425011537,0.37932625749884635,0.6747818098300413,0.3252181901699587,0.10885780885780885,-6.037432078889113e-4,0.009395973154362415,0.0044742729306487695,0.09219330855018587,-0.1386861313868613,0.05410806732888762,-0.05410806732888768,other,other,increase 10% or greater,stayed 70% or over regional pci,stayed above 60th pctile of per capita income
11001000701,5786,5786,3940,584,50,668,0,0,177,367,539733600,3529,3287,1934,1353,5786,343,665,796,951,322,4990,4395,245380300,4395,3675,119,134,253,720,4395,3476,154,0,284,0,26,74,381,535,3097,2915,1427,1488,0.03048919226393629,0.05928102315935015,0.027076222980659842,0.05565157276183892,0.05756541524459613,0.11493259592118908,0.16382252559726962,0.13757345316280678,0.8361774744027304,0.8624265468371932,209,203,412,76,1315,0.028791830895413862,0.02857534978117908,0.05736718067659295,-0.02624907243446284,0.02624907243446284,1.5597014925373134,1.7058823529411764,1.6284584980237153,0.10555555555555556,0.3578231292517007,0.7908987485779294,0.6809540269616315,0.035039817974971556,0.10093328724507432,0,0.008641548565502939,0.0646188850967008,0.11545108883511926,0,0,0.005915813424345847,0.004493605254061528,0.01683731513083049,0.0305910819218804,0.08668941979522184,0.06342896647079156,0.1217292377701934,0.16436225371586588,464,430,384,-14,416,-0.10994472161629787,0.06589346927010276,0.05083220373841846,-0.023260453324430275,0.04263301594567248,0.1334867663981588,2.792207792207792,1.352112676056338,-0.03674540682414698,1,55831.69510807736,93282.68233667473,0.9440715883668904,0.9448584202682563,37450.98722859737,1.821800915361725,1.865033987634859,0.043233072273134,1391,1391,1391,432,372,507,-135,0.4895368782161235,0.5104631217838765,0.588378460602373,0.411621539397627,0.31649601820250284,0.31649601820250284,0.13948982886664513,0.12011624152405553,0.3552908199018921,-0.0907258064516129,0.09884158238624946,-0.09884158238624952,other,other,lt 10% change,stayed 70% or over regional pci,stayed above 60th pctile of per capita income
11001000702,2972,2972,1936,241,0,248,0,66,95,386,175030800,2305,2092,420,1672,2972,293,393,696,627,100,2276,3282,110598700,3282,2395,248,374,622,887,3282,2340,236,0,167,0,26,162,351,587,2388,2302,476,1826,0.11395490554539915,0.09858681022880215,0.07556368068251067,0.033647375504710635,0.18951858622790982,0.13223418573351278,0.27026203534430226,0.23418573351278602,0.7297379646556977,0.765814266487214,-81,-148,-229,-191,-119,-0.015368095316596997,-0.04191630517780003,-0.057284400494397036,-0.03607630183151625,0.03607630183151622,-0.21657754010695188,-0.5967741935483871,-0.36816720257234725,-0.2153325817361894,-0.049686847599164925,0.7129798903107861,0.6514131897711979,0.07190737355271176,0.08109017496635262,0,0,0.05088360755636807,0.08344549125168237,0,0,0.007921998781230956,0.008748317631224764,0.04936014625228519,0.0319650067294751,0.10694698354661791,0.12987886944818305,0.17885435709932967,0.21096904441453568,-404,5,81,35,40,-0.06156670053958824,0.009182801413640862,0.0325618836953143,0.02293188590156514,0.032114687315206,-0.17264957264957265,0.0211864406779661,0.48502994011976047,0.09971509971509972,1,33698.56794637416,58893.27052489906,0.7039522744220731,0.732488822652757,25194.7025785249,1.0995919398872405,1.1774741937145976,0.07788225382735714,-310,-310,-310,-83,-210,-56,-154,0.20677671589921806,0.7932232841007819,0.20076481835564053,0.7992351816443595,-0.09445460085313832,-0.09445460085313832,-0.0347571189279732,-0.08793969849246232,-0.11764705882352941,-0.08433734939759036,-0.006011897543577532,0.00601189754357756,other,other,lt 10% change,stayed 70% or over regional pci,stayed above 60th pctile of per capita income
